Date : 2020-11-24 21:22:09
Directory : c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-
Total : 305 files,  7577 codes, 57 comments, 906 blanks, all 8540 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C        |        299 |      7,552 |         57 |        896 |      8,505 |
| C++      |          5 |         24 |          0 |          9 |         33 |
| Markdown |          1 |          1 |          0 |          1 |          2 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                           |        305 |      7,577 |         57 |        906 |      8,540 |
| Chapter 1                                                                                   |          2 |         15 |          0 |          4 |         19 |
| Chapter 10                                                                                  |         33 |      1,039 |          0 |        168 |      1,207 |
| Chapter 10\practice                                                                         |         14 |        583 |          0 |         89 |        672 |
| Chapter 11                                                                                  |         49 |      1,649 |          0 |        174 |      1,823 |
| Chapter 11\practice                                                                         |         16 |        740 |          0 |         72 |        812 |
| Chapter 12                                                                                  |         32 |        726 |          0 |         95 |        821 |
| Chapter 12\Practice                                                                         |         15 |        410 |          0 |         42 |        452 |
| Chapter 12\Practice\1                                                                       |          1 |         20 |          0 |          5 |         25 |
| Chapter 12\Practice\2                                                                       |          3 |         81 |          0 |          8 |         89 |
| Chapter 12\Practice\3                                                                       |          3 |         81 |          0 |          9 |         90 |
| Chapter 12\Practice\7                                                                       |          3 |         64 |          0 |         11 |         75 |
| Chapter 12\manydice                                                                         |          3 |         74 |          0 |         11 |         85 |
| Chapter 12\rand0                                                                            |          2 |         17 |          0 |          4 |         21 |
| Chapter 12\s_and_r                                                                          |          2 |         31 |          0 |          6 |         37 |
| Chapter 12\storage                                                                          |          2 |         46 |          0 |         10 |         56 |
| Chapter 13                                                                                  |          5 |        235 |          1 |         18 |        254 |
| Chapter 2                                                                                   |         12 |        164 |         13 |         34 |        211 |
| Chapter 2\Practice                                                                          |          8 |        121 |          6 |         25 |        152 |
| Chapter 3                                                                                   |         18 |        208 |         17 |         49 |        274 |
| Chapter 3\Practice                                                                          |          8 |         96 |          0 |         24 |        120 |
| Chapter 4                                                                                   |         25 |        315 |          0 |         54 |        369 |
| Chapter 4\Practice                                                                          |          8 |        109 |          0 |         18 |        127 |
| Chapter 5                                                                                   |         25 |        394 |          0 |         40 |        434 |
| Chapter 5\practice                                                                          |          9 |        160 |          0 |          9 |        169 |
| Chapter 6                                                                                   |         38 |        625 |          0 |         46 |        671 |
| Chapter 6\practice                                                                          |         18 |        326 |          0 |          9 |        335 |
| Chapter 7                                                                                   |         23 |        880 |          0 |         40 |        920 |
| Chapter 7\practice                                                                          |         11 |        519 |          0 |         19 |        538 |
| Chapter 8                                                                                   |         16 |        619 |         13 |         69 |        701 |
| Chapter 8\practice                                                                          |          8 |        328 |         13 |         28 |        369 |
| Chapter 9                                                                                   |         26 |        707 |         13 |        114 |        834 |
| Chapter 9\UseHotel                                                                          |          3 |         87 |          9 |         15 |        111 |
| Chapter 9\practice                                                                          |         11 |        345 |          0 |         42 |        387 |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                    | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 10\arf.c                 | C        |         33 |          0 |          8 |         41 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 10\array2d.c             | C        |         60 |          0 |          9 |         69 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 10\bounds.c              | C        |         24 |          0 |          3 |         27 |
