Date : 2020-11-24 21:22:09
Directory : c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-
Total : 305 files,  7577 codes, 57 comments, 906 blanks, all 8540 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 10\day_mon1.c            | C        |         12 |          0 |          3 |         15 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 10\day_mon2.c            | C        |         11 |          0 |          2 |         13 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 10\day_mon3.c            | C        |         12 |          0 |          3 |         15 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 10\designate.c           | C        |         12 |          0 |          2 |         14 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 10\flc.c                 | C        |         43 |          0 |          8 |         51 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 10\no_data.c             | C        |         13 |          0 |          1 |         14 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 10\order.c               | C        |         13 |          0 |          2 |         15 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 10\pnt_add.c             | C        |         18 |          0 |          2 |         20 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 10\practice\1.c          | C        |         38 |          0 |          4 |         42 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 10\practice\10.c         | C        |         21 |          0 |          3 |         24 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 10\practice\11.c         | C        |         39 |          0 |          4 |         43 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 10\practice\12.c         | C        |         50 |          0 |          8 |         58 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 10\practice\13.c         | C        |         83 |          0 |          7 |         90 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 10\practice\14.c         | C        |         82 |          0 |          7 |         89 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 10\practice\2.c          | C        |         39 |          0 |          9 |         48 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 10\practice\3.c          | C        |         20 |          0 |          7 |         27 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 10\practice\4.c          | C        |         22 |          0 |          7 |         29 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 10\practice\5.c          | C        |         25 |          0 |          8 |         33 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 10\practice\6.c          | C        |         34 |          0 |          4 |         38 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 10\practice\7.c          | C        |         66 |          0 |          9 |         75 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 10\practice\8.c          | C        |         28 |          0 |          8 |         36 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 10\practice\9.c          | C        |         36 |          0 |          4 |         40 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 10\ptr_ops.c             | C        |         28 |          0 |         10 |         38 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 10\rain.c                | C        |         40 |          0 |          3 |         43 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 10\somedata.c            | C        |         13 |          0 |          2 |         15 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 10\sum_arr1.c            | C        |         23 |          0 |          5 |         28 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 10\sum_arr2.c            | C        |         21 |          0 |          5 |         26 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 10\vararr2d.c            | C        |         44 |          0 |          8 |         52 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 10\zippo1.c              | C        |         17 |          0 |          1 |         18 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 10\zippo2.c              | C        |         19 |          0 |          2 |         21 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\addresses.c           | C        |         13 |          0 |          2 |         15 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\arrchar.c             | C        |         29 |          0 |          2 |         31 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\compare.c             | C        |         44 |          0 |          5 |         49 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\compback.c            | C        |         18 |          0 |          6 |         24 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\copy1.c               | C        |         55 |          0 |          5 |         60 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\copy2.c               | C        |         16 |          0 |          3 |         19 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\copy3.c               | C        |         57 |          0 |          5 |         62 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\fgets1.c              | C        |         18 |          0 |          2 |         20 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\fgets2.c              | C        |         13 |          0 |          2 |         15 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\fgets3.c              | C        |         30 |          0 |          0 |         30 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\format.c              | C        |         44 |          0 |          5 |         49 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\getsputs.c            | C        |         13 |          0 |          2 |         15 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\hello.c               | C        |         18 |          0 |          2 |         20 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\join_chk.c            | C        |         50 |          0 |          4 |         54 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\mod_str.c             | C        |         43 |          0 |          7 |         50 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\nogo.c                | C        |         42 |          0 |          5 |         47 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\nono.c                | C        |          9 |          0 |          2 |         11 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\p_and_s.c             | C        |         11 |          0 |          2 |         13 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\practice\1.c          | C        |         21 |          0 |          6 |         27 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\practice\10.c         | C        |         42 |          0 |          4 |         46 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\practice\11.c         | C        |        152 |          0 |         13 |        165 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\practice\12.c         | C        |        104 |          0 |         11 |        115 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\practice\13.c         | C        |         17 |          0 |          1 |         18 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\practice\14.c         | C        |         19 |          0 |          3 |         22 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\practice\15.c         | C        |         29 |          0 |          5 |         34 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\practice\16.c         | C        |         63 |          0 |          5 |         68 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\practice\2.c          | C        |         25 |          0 |          5 |         30 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\practice\3.c          | C        |         27 |          0 |          4 |         31 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\practice\4.c          | C        |         29 |          0 |          4 |         33 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\practice\5.c          | C        |         43 |          0 |          2 |         45 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\practice\6.c          | C        |         43 |          0 |          2 |         45 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\practice\7.c          | C        |         44 |          0 |          2 |         46 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\practice\8.c          | C        |         49 |          0 |          2 |         51 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\practice\9.c          | C        |         33 |          0 |          3 |         36 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\put1.c                | C        |          9 |          0 |          0 |          9 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\put2.c                | C        |         12 |          0 |          1 |         13 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\put_out.c             | C        |         14 |          0 |          2 |         16 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\put_put.c             | C        |         30 |          0 |          5 |         35 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\quit_chk.c            | C        |         43 |          0 |          5 |         48 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\repeat.c              | C        |         12 |          0 |          2 |         14 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\s_gets().c            | C        |         26 |          0 |          1 |         27 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\scan_str.c            | C        |         10 |          0 |          2 |         12 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\sort_str.c            | C        |         70 |          0 |          6 |         76 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\starsrch.c            | C        |         24 |          0 |          2 |         26 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\str_cat.c             | C        |         47 |          0 |          4 |         51 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\strcnvt.c             | C        |         46 |          0 |          5 |         51 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\strings1.c            | C        |         15 |          0 |          2 |         17 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\strptr.c              | C        |          6 |          0 |          1 |          7 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 11\test_fit.c            | C        |         22 |          0 |          3 |         25 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 12\7.c                   | C        |          0 |          0 |          1 |          1 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 12\Practice\1\1.c        | C        |         20 |          0 |          5 |         25 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 12\Practice\2\pe12-2a.c  | C        |         55 |          0 |          4 |         59 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 12\Practice\2\pe12-2a.h  | C++      |          6 |          0 |          2 |          8 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 12\Practice\2\pe12-2b.c  | C        |         20 |          0 |          2 |         22 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 12\Practice\3\pe12-3a.c  | C        |         56 |          0 |          4 |         60 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 12\Practice\3\pe12-3a.h  | C++      |          4 |          0 |          2 |          6 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 12\Practice\3\pe12-3b.c  | C        |         21 |          0 |          3 |         24 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 12\Practice\4.c          | C        |         15 |          0 |          3 |         18 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 12\Practice\5.c          | C        |         43 |          0 |          3 |         46 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 12\Practice\6.c          | C        |         29 |          0 |          1 |         30 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 12\Practice\7\diceroll.c | C        |         31 |          0 |          7 |         38 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 12\Practice\7\diceroll.h | C++      |          2 |          0 |          1 |          3 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 12\Practice\7\manydice.c | C        |         31 |          0 |          3 |         34 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 12\Practice\8.c          | C        |         50 |          0 |          2 |         52 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 12\Practice\9.c          | C        |         27 |          0 |          0 |         27 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 12\dyn_arr.c             | C        |         36 |          0 |          3 |         39 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 12\forc99.c              | C        |         20 |          0 |          2 |         22 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 12\global.c              | C        |         21 |          0 |          4 |         25 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 12\hiding.c              | C        |         18 |          0 |          2 |         20 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 12\loc_state.c           | C        |         19 |          0 |          6 |         25 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 12\manydice\diceroll.c   | C        |         31 |          0 |          7 |         38 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 12\manydice\diceroll.h   | C++      |          2 |          0 |          1 |          3 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 12\manydice\manydice.c   | C        |         41 |          0 |          3 |         44 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 12\rand0\r_drive0.c      | C        |         11 |          0 |          3 |         14 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 12\rand0\rand0.c         | C        |          6 |          0 |          1 |          7 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 12\s_and_r\r_drive.c     | C        |         21 |          0 |          3 |         24 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 12\s_and_r\s_and_r.c     | C        |         10 |          0 |          3 |         13 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 12\storage\parta.c       | C        |         26 |          0 |          5 |         31 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 12\storage\partb.c       | C        |         20 |          0 |          5 |         25 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 12\test.c                | C        |          8 |          0 |          0 |          8 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 12\where.c               | C        |         26 |          0 |          4 |         30 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 13\addword.c             | C        |         32 |          0 |          3 |         35 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 13\append.c              | C        |        101 |          0 |          6 |        107 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 13\count.c               | C        |         29 |          1 |          2 |         32 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 13\reducto.c             | C        |         41 |          0 |          4 |         45 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 13\reverse.c             | C        |         32 |          0 |          3 |         35 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 1\1.1.c                  | C        |          9 |          0 |          3 |         12 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 1\concrete.c             | C        |          6 |          0 |          1 |          7 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 2\Practice\1.c           | C        |         13 |          1 |          1 |         15 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 2\Practice\2.c           | C        |         10 |          1 |          2 |         13 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 2\Practice\3.c           | C        |          9 |          0 |          3 |         12 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 2\Practice\4.c           | C        |         19 |          4 |          3 |         26 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 2\Practice\5.c           | C        |         22 |          0 |          4 |         26 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 2\Practice\6.c           | C        |         10 |          0 |          3 |         13 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 2\Practice\7.c           | C        |         18 |          0 |          4 |         22 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 2\Practice\8.c           | C        |         20 |          0 |          5 |         25 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 2\fathm_ft.c             | C        |         10 |          1 |          2 |         13 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 2\first.c                | C        |         10 |          0 |          2 |         12 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 2\nogood.c               | C        |         10 |          5 |          3 |         18 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 2\two_func.c             | C        |         13 |          1 |          2 |         16 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 3\Practice\1.c           | C        |         15 |          0 |          3 |         18 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 3\Practice\2.c           | C        |          9 |          0 |          2 |         11 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 3\Practice\3.c           | C        |          9 |          0 |          2 |         11 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 3\Practice\4.c           | C        |         11 |          0 |          3 |         14 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 3\Practice\5.c           | C        |         12 |          0 |          5 |         17 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 3\Practice\6.c           | C        |         12 |          0 |          3 |         15 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 3\Practice\7.c           | C        |         11 |          0 |          2 |         13 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 3\Practice\8.c           | C        |         17 |          0 |          4 |         21 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 3\altnames.c             | C        |         13 |          1 |          3 |         17 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 3\bases.c                | C        |          8 |          1 |          2 |         11 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 3\charcode.c             | C        |          9 |          1 |          2 |         12 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 3\escape.c               | C        |         11 |          5 |          3 |         19 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 3\platinum.c             | C        |         15 |          4 |          3 |         22 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 3\print1.c               | C        |         11 |          1 |          2 |         14 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 3\print2.c               | C        |         13 |          1 |          2 |         16 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 3\showf_pt.c             | C        |         12 |          1 |          3 |         16 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 3\toobig.c               | C        |          9 |          1 |          2 |         12 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 3\typesize.c             | C        |         11 |          1 |          3 |         15 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 4\Practice\4.1.c         | C        |         12 |          0 |          4 |         16 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 4\Practice\4.2.c         | C        |         14 |          0 |          3 |         17 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 4\Practice\4.3.c         | C        |         10 |          0 |          0 |         10 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 4\Practice\4.4.c         | C        |         12 |          0 |          1 |         13 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 4\Practice\4.5.c         | C        |         12 |          0 |          0 |         12 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 4\Practice\4.6.c         | C        |         19 |          0 |          6 |         25 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 4\Practice\4.7.c         | C        |         16 |          0 |          2 |         18 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 4\Practice\4.8.c         | C        |         14 |          0 |          2 |         16 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 4\defines.c              | C        |         15 |          0 |          2 |         17 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 4\flags.c                | C        |          8 |          0 |          1 |          9 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter 4\floatcnv.c             | C        |         12 |          0 |          2 |         14 |
